"number_wasps"	"w"	"max_steps"	"min_steps"	"mean_steps"	"mean_survival"	"mean_nested"	"mean_usurp"
110	47	842	2	221.1	0.5	0.5	0.1
110	48	531	4	128.6	0.7	0.7	0.2
110	49	724	1	195.6	0.6	0.6	0.1
110	50	414	9	141.7	0.6	0.6	0.2
110	51	1313	6	166.5	0.7	0.7	0.4
110	52	611	4	119.7	0.6	0.6	0.1
110	53	582	2	126.5	0.7	0.7	0.1
110	54	422	3	151.5	0.7	0.7	0.1
110	55	236	4	68.1	0.6	0.6	0.1
110	56	1087	4	227.6	0.8	0.8	0.4
110	57	363	9	113.7	0.6	0.6	0.2
110	58	425	4	136.2	0.6	0.6	0
110	59	1754	7	295.2	0.7	0.7	0.2
110	60	309	5	108.5	0.6	0.6	0.3
110	61	1360	3	172.2	0.7	0.7	0.3
110	62	1161	5	218.9	0.7	0.7	0.3
110	63	234	1	66.6	0.6	0.6	0.4
110	64	206	4	63	0.7	0.7	0.2
110	65	647	2	142.6	0.4	0.4	0.2
110	66	811	3	235.5	0.7	0.7	0.4
110	67	1175	10	249.9	0.6	0.6	0.1
110	68	643	1	119.3	0.6	0.6	0.3
110	69	528	8	99.4	0.6	0.6	0.2
110	70	689	8	119.2	0.6	0.6	0.4
110	71	1442	6	210.5	0.5	0.5	0.2
110	72	552	12	124.9	0.6	0.6	0.2
110	73	215	5	52.6	0.6	0.6	0.4
110	74	2484	12	360.7	0.7	0.7	0.1
110	75	1742	3	306.2	0.6	0.6	0.4
110	76	643	1	187.1	0.6	0.6	0.2
110	77	731	12	244.2	0.7	0.7	0.4
110	78	1228	2	242.8	0.6	0.6	0.3
110	79	747	13	194.4	0.6	0.6	0.4
110	80	752	3	144.3	0.7	0.7	0.6
110	81	847	12	146.9	0.6	0.6	0.3
110	82	1003	1	199.3	0.7	0.7	0.2
110	83	860	2	162.8	0.6	0.6	0.3
110	84	705	9	144.3	0.8	0.8	0.3
110	85	606	5	99.6	0.6	0.6	0.2
110	86	613	4	163.1	0.6	0.6	0.5
110	87	1596	3	189	0.7	0.7	0
110	88	473	5	144.8	0.6	0.6	0.2
110	89	539	4	101.2	0.6	0.6	0.2
110	90	371	9	121.6	0.6	0.6	0.1
110	91	1973	4	353	0.5	0.5	0.4
110	92	432	4	107.5	0.4	0.4	0.2
110	93	222	3	65.9	0.6	0.6	0.2
110	94	1717	1	244.3	0.6	0.6	0.4
110	95	1415	10	253.4	0.6	0.6	0.4
110	96	3329	2	516.5	0.5	0.5	0.4
110	97	887	2	192.2	0.5	0.5	0.3
110	98	601	3	142.7	0.8	0.8	0.3
110	99	662	1	99.2	0.7	0.7	0.4
110	100	1320	3	290.5	0.5	0.5	0.1
110	101	403	6	90.5	0.6	0.6	0.3
110	102	457	1	115.4	0.5	0.5	0.3
110	103	735	8	203.7	0.5	0.5	0.2
110	104	1801	5	214.3	0.7	0.7	0.4
110	105	1256	8	186.4	0.6	0.6	0.5
110	106	690	3	157.9	0.7	0.7	0.1
110	107	656	7	219.7	0.6	0.6	0.5
110	108	296	2	80.2	0.6	0.6	0.4
110	109	204	8	61.3	0.7	0.7	0.5
110	110	825	6	149.1	0.8	0.8	0.4
120	1	598	1	159.8	0.6	0.6	0
120	2	441	1	99.7	0.7	0.7	0
120	3	1580	1	262	0.7	0.7	0
120	4	750	1	175.3	0.7	0.7	0.2
120	5	1102	2	159.7	0.7	0.7	0
120	6	1781	1	313.9	0.5	0.5	0.1
120	7	872	1	198.8	0.7	0.7	0
120	8	128	1	38.5	0.7	0.7	0
120	9	1115	1	255.1	0.7	0.7	0.1
120	10	1175	2	182.7	0.7	0.7	0.1
120	11	468	1	163	0.7	0.7	0.1
120	12	314	1	86	0.6	0.6	0
120	13	1015	2	172.4	0.7	0.7	0.3
