"number_wasps"	"w"	"total_alive"	"total_usurp"	"total_nested"	"Treatment"
120	45	6	3	6	"FSF"
120	46	7	2	7	"FSF"
120	47	7	3	7	"FSF"
120	48	7	1	7	"FSF"
120	49	9	2	9	"FSF"
120	50	8	4	8	"FSF"
120	51	6	2	6	"FSF"
120	52	7	1	7	"FSF"
120	53	8	5	8	"FSF"
120	54	7	2	7	"FSF"
120	55	8	3	8	"FSF"
120	56	7	3	7	"FSF"
120	57	8	1	8	"FSF"
120	58	6	3	6	"FSF"
120	59	7	3	7	"FSF"
120	60	7	3	7	"FSF"
120	61	9	4	9	"FSF"
120	62	7	2	7	"FSF"
120	63	7	2	7	"FSF"
120	64	7	4	7	"FSF"
120	65	6	1	6	"FSF"
120	66	6	1	6	"FSF"
120	67	7	1	7	"FSF"
120	68	9	4	9	"FSF"
120	69	6	3	6	"FSF"
120	70	8	2	8	"FSF"
120	71	6	2	6	"FSF"
120	72	7	4	7	"FSF"
120	73	7	4	7	"FSF"
120	74	6	3	6	"FSF"
120	75	9	4	9	"FSF"
120	76	7	2	7	"FSF"
120	77	7	2	7	"FSF"
120	78	7	3	7	"FSF"
120	79	6	1	6	"FSF"
120	80	7	2	7	"FSF"
120	81	7	4	7	"FSF"
120	82	6	4	6	"FSF"
120	83	6	2	6	"FSF"
120	84	7	2	7	"FSF"
120	85	6	3	6	"FSF"
120	86	6	1	6	"FSF"
120	87	8	4	8	"FSF"
120	88	6	4	6	"FSF"
120	89	8	7	8	"FSF"
120	90	6	2	6	"FSF"
120	91	7	3	7	"FSF"
120	92	7	4	7	"FSF"
120	93	8	4	8	"FSF"
120	94	7	3	7	"FSF"
120	95	6	2	6	"FSF"
120	96	6	3	6	"FSF"
120	97	7	4	7	"FSF"
120	98	8	3	8	"FSF"
120	99	5	2	5	"FSF"
120	100	7	3	7	"FSF"
120	101	8	6	8	"FSF"
120	102	6	4	6	"FSF"
120	103	7	4	7	"FSF"
120	104	9	7	9	"FSF"
120	105	6	3	6	"FSF"
120	106	7	2	7	"FSF"
120	107	7	4	7	"FSF"
120	108	7	3	7	"FSF"
120	109	7	4	7	"FSF"
120	110	7	4	7	"FSF"
120	111	6	3	6	"FSF"
120	112	6	2	6	"FSF"
120	113	7	4	7	"FSF"
120	114	7	1	7	"FSF"
120	115	7	3	7	"FSF"
120	116	7	6	7	"FSF"
120	117	7	4	7	"FSF"
120	118	5	1	5	"FSF"
120	119	6	3	6	"FSF"
120	120	8	2	8	"FSF"
130	1	8	0	8	"FSF"
130	2	8	0	8	"FSF"
130	3	8	0	8	"FSF"
130	4	8	1	8	"FSF"
130	5	8	1	8	"FSF"
130	6	9	0	9	"FSF"
130	7	8	0	8	"FSF"
130	8	8	1	8	"FSF"
130	9	8	1	8	"FSF"
130	10	7	0	7	"FSF"
130	11	8	0	8	"FSF"
130	12	8	0	8	"FSF"
130	13	8	1	8	"FSF"
130	14	7	0	7	"FSF"
130	15	7	0	7	"FSF"
130	16	7	1	7	"FSF"
130	17	7	1	7	"FSF"
130	18	9	0	9	"FSF"
130	19	7	2	7	"FSF"
130	20	7	0	7	"FSF"
130	21	8	1	8	"FSF"
130	22	9	2	9	"FSF"
130	23	6	2	6	"FSF"
130	24	7	0	7	"FSF"
130	25	9	1	9	"FSF"
130	26	8	2	8	"FSF"
130	27	9	2	9	"FSF"
130	28	8	4	8	"FSF"
130	29	7	0	7	"FSF"
130	30	7	0	7	"FSF"
130	31	8	3	8	"FSF"
130	32	7	0	7	"FSF"
130	33	7	2	7	"FSF"
130	34	8	2	8	"FSF"
130	35	7	4	7	"FSF"
130	36	7	1	7	"FSF"
130	37	7	3	7	"FSF"
130	38	6	1	6	"FSF"
130	39	8	2	8	"FSF"
130	40	8	3	8	"FSF"
130	41	7	3	7	"FSF"
130	42	7	4	7	"FSF"
130	43	8	3	8	"FSF"
130	44	7	1	7	"FSF"
130	45	8	3	8	"FSF"
130	46	7	1	7	"FSF"
130	47	8	3	8	"FSF"
130	48	7	2	7	"FSF"
130	49	8	1	8	"FSF"
130	50	6	1	6	"FSF"
130	51	8	4	8	"FSF"
130	52	8	4	8	"FSF"
130	53	7	2	7	"FSF"
130	54	6	1	6	"FSF"
